no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,1000.0,7.0,4.0,15.0,8.0,556.0,816.0,0.0983501772396389,0.0,0.0,64000.0
1.0,1000.0,7.0,4.0,15.0,8.0,556.0,816.0,0.0983501772396389,0.0,0.0,500000.0
1.0,1000.0,7.0,8.0,63.0,32.0,2439.0,3504.0,0.1171105770746187,0.0,0.0,500000.0
1.0,1000.0,7.0,8.0,63.0,32.0,2439.0,3504.0,0.1171105770746187,0.0,0.0,64000.0
1.0,1000.0,7.0,9.0,232.0,120.0,9317.0,13360.0,0.12810151093768207,0.0,0.0,64000.0
1.0,1000.0,7.0,9.0,232.0,120.0,9317.0,13360.0,0.12810151093768207,0.0,0.0,500000.0
2.0,1000.0,7.0,5.0,30.0,16.0,1078.0,1632.0,0.1792942594835416,0.0,0.0,64000.0
2.0,1000.0,7.0,5.0,30.0,16.0,1078.0,1632.0,0.1792942594835416,0.0,0.0,500000.0
2.0,1000.0,7.0,9.0,118.0,63.0,4380.0,6896.0,0.21363085169236573,0.0,0.0,500000.0
2.0,1000.0,7.0,9.0,118.0,63.0,4380.0,6896.0,0.21363085169236573,0.0,0.0,64000.0
2.0,1000.0,7.0,9.0,428.0,237.0,16447.0,26384.0,0.23713189989975259,0.0,0.0,64000.0
2.0,1000.0,7.0,9.0,428.0,237.0,16447.0,26384.0,0.23713189989975259,0.0,0.0,500000.0
3.0,1000.0,7.0,5.0,45.0,24.0,1604.0,2448.0,0.2497833925430647,0.0,0.0,500000.0
3.0,1000.0,7.0,5.0,45.0,24.0,1604.0,2448.0,0.2497833925430647,0.0,0.0,64000.0
3.0,1000.0,7.0,9.0,172.0,95.0,6301.0,10400.0,0.29259054585241306,0.0,0.0,500000.0
3.0,1000.0,7.0,9.0,172.0,95.0,6301.0,10400.0,0.29259054585241306,0.0,0.0,64000.0
3.0,1000.0,7.0,9.0,606.0,357.0,23006.0,39744.0,0.32559635495834516,0.0,0.0,64000.0
3.0,1000.0,7.0,9.0,606.0,357.0,23006.0,39744.0,0.32559635495834516,0.0,0.0,500000.0
4.0,1000.0,7.0,5.0,58.0,32.0,2045.0,3264.0,0.30570557986277536,0.0,0.0,500000.0
4.0,1000.0,7.0,5.0,58.0,32.0,2045.0,3264.0,0.30570557986277536,0.0,0.0,64000.0
4.0,1000.0,7.0,9.0,218.0,126.0,7916.0,13792.0,0.35860401440283374,0.0,0.0,500000.0
4.0,1000.0,7.0,9.0,218.0,126.0,7916.0,13792.0,0.35860401440283374,0.0,0.0,64000.0
4.0,1000.0,7.0,9.0,776.0,475.0,29283.0,52880.0,0.3966636271505518,0.0,0.0,500000.0
4.0,1000.0,7.0,9.0,776.0,475.0,29283.0,52880.0,0.3966636271505518,0.0,0.0,64000.0
5.0,1000.0,7.0,6.0,71.0,40.0,2521.0,4080.0,0.35331547396728613,0.0,0.0,64000.0
5.0,1000.0,7.0,6.0,71.0,40.0,2521.0,4080.0,0.35331547396728613,0.0,0.0,500000.0
5.0,1000.0,7.0,9.0,267.0,157.0,9643.0,17184.0,0.4145778697495348,0.0,0.0,64000.0
5.0,1000.0,7.0,9.0,267.0,157.0,9643.0,17184.0,0.4145778697495348,0.0,0.0,500000.0
5.0,1000.0,7.0,9.0,945.0,591.0,35508.0,65792.0,0.4575414933008567,0.0,0.0,500000.0
5.0,1000.0,7.0,9.0,945.0,591.0,35508.0,65792.0,0.4575414933008567,0.0,0.0,64000.0
6.0,1000.0,7.0,6.0,85.0,48.0,3021.0,4896.0,0.39182472239862,0.0,0.0,64000.0
6.0,1000.0,7.0,6.0,85.0,48.0,3021.0,4896.0,0.39182472239862,0.0,0.0,500000.0
6.0,1000.0,7.0,9.0,319.0,189.0,11546.0,20688.0,0.46297308450659347,0.0,0.0,64000.0
6.0,1000.0,7.0,9.0,319.0,189.0,11546.0,20688.0,0.46297308450659347,0.0,0.0,500000.0
6.0,1000.0,7.0,9.0,1105.0,703.0,41538.0,78256.0,0.5084058592506557,0.0,0.0,500000.0
6.0,1000.0,7.0,9.0,1105.0,703.0,41538.0,78256.0,0.5084058592506557,0.0,0.0,64000.0
7.0,1000.0,7.0,6.0,98.0,56.0,3467.0,5712.0,0.4257735406323493,0.0,0.0,500000.0
7.0,1000.0,7.0,6.0,98.0,56.0,3467.0,5712.0,0.4257735406323493,0.0,0.0,64000.0
7.0,1000.0,7.0,9.0,362.0,221.0,13086.0,24192.0,0.5017404327294821,0.0,0.0,64000.0
7.0,1000.0,7.0,9.0,362.0,221.0,13086.0,24192.0,0.5017404327294821,0.0,0.0,500000.0
7.0,1000.0,7.0,9.0,1270.0,822.0,47859.0,91504.0,0.552187529690813,0.0,0.0,64000.0
7.0,1000.0,7.0,9.0,1270.0,822.0,47859.0,91504.0,0.552187529690813,0.0,0.0,500000.0
8.0,1000.0,7.0,7.0,112.0,64.0,3949.0,6528.0,0.4563549558060712,0.0,0.0,500000.0
8.0,1000.0,7.0,7.0,112.0,64.0,3949.0,6528.0,0.4563549558060712,0.0,0.0,64000.0
8.0,1000.0,7.0,9.0,407.0,252.0,14722.0,27584.0,0.5347302501654401,0.0,0.0,64000.0
8.0,1000.0,7.0,9.0,407.0,252.0,14722.0,27584.0,0.5347302501654401,0.0,0.0,500000.0
8.0,1000.0,7.0,9.0,1427.0,934.0,53666.0,103968.0,0.5856496032892985,0.0,0.0,500000.0
8.0,1000.0,7.0,9.0,1427.0,934.0,53666.0,103968.0,0.5856496032892985,0.0,0.0,64000.0
9.0,1000.0,7.0,7.0,123.0,72.0,4338.0,7344.0,0.48079068711947726,0.0,0.0,500000.0
9.0,1000.0,7.0,7.0,123.0,72.0,4338.0,7344.0,0.48079068711947726,0.0,0.0,64000.0
9.0,1000.0,7.0,9.0,457.0,283.0,16551.0,30976.0,0.5622201381551137,0.0,0.0,64000.0
9.0,1000.0,7.0,9.0,457.0,283.0,16551.0,30976.0,0.5622201381551137,0.0,0.0,500000.0
9.0,1000.0,7.0,9.0,1577.0,1044.0,59323.0,116208.0,0.6134760909761319,0.0,0.0,500000.0
9.0,1000.0,7.0,9.0,1577.0,1044.0,59323.0,116208.0,0.6134760909761319,0.0,0.0,64000.0
10.0,1000.0,7.0,8.0,135.0,80.0,4759.0,8160.0,0.5003025327009456,0.0,0.0,64000.0
10.0,1000.0,7.0,8.0,135.0,80.0,4759.0,8160.0,0.5003025327009456,0.0,0.0,500000.0
10.0,1000.0,7.0,9.0,499.0,314.0,18051.0,34368.0,0.5864395013840467,0.0,0.0,500000.0
10.0,1000.0,7.0,9.0,499.0,314.0,18051.0,34368.0,0.5864395013840467,0.0,0.0,64000.0
10.0,1000.0,7.0,9.0,1741.0,1155.0,65306.0,128560.0,0.6367053798897709,0.0,0.0,64000.0
10.0,1000.0,7.0,9.0,1741.0,1155.0,65306.0,128560.0,0.6367053798897709,0.0,0.0,500000.0
15.0,1000.0,7.0,8.0,199.0,120.0,7034.0,12240.0,0.5745012504856003,0.0,0.0,500000.0
15.0,1000.0,7.0,8.0,199.0,120.0,7034.0,12240.0,0.5745012504856003,0.0,0.0,64000.0
15.0,1000.0,7.0,9.0,724.0,470.0,26225.0,51440.0,0.6650392447559013,0.0,0.0,500000.0
15.0,1000.0,7.0,9.0,724.0,470.0,26225.0,51440.0,0.6650392447559013,0.0,0.0,64000.0
15.0,1000.0,7.0,9.0,2434.0,1687.0,91705.0,187744.0,0.7141032102187365,0.0,0.0,500000.0
15.0,1000.0,7.0,9.0,2434.0,1687.0,91705.0,187744.0,0.7141032102187365,0.0,0.0,64000.0
20.0,1000.0,7.0,8.0,261.0,160.0,9204.0,16320.0,0.6225075283292736,0.0,0.0,500000.0
20.0,1000.0,7.0,8.0,261.0,160.0,9204.0,16320.0,0.6225075283292736,0.0,0.0,64000.0
20.0,1000.0,7.0,9.0,960.0,629.0,34733.0,68848.0,0.7083377971775839,0.0,0.0,500000.0
20.0,1000.0,7.0,9.0,960.0,629.0,34733.0,68848.0,0.7083377971775839,0.0,0.0,64000.0
20.0,1000.0,7.0,9.0,3067.0,2198.0,116476.0,244576.0,0.7544470320230003,0.0,0.0,64000.0
20.0,1000.0,7.0,9.0,3067.0,2198.0,116476.0,244576.0,0.7544470320230003,0.0,0.0,500000.0
30.0,1000.0,7.0,8.0,370.0,240.0,13087.0,24480.0,0.6976459098647894,0.0,0.0,500000.0
30.0,1000.0,7.0,8.0,370.0,240.0,13087.0,24480.0,0.6976459098647894,0.0,0.0,64000.0
30.0,1000.0,7.0,9.0,1369.0,928.0,50262.0,101536.0,0.7608560063621013,0.0,0.0,64000.0
30.0,1000.0,7.0,9.0,1369.0,928.0,50262.0,101536.0,0.7608560063621013,0.0,0.0,500000.0
27.0,1000.0,7.0,9.0,3780.0,2786.0,144135.0,309872.0,0.7811785400583607,0.0,0.0,64000.0
30.0,1000.0,7.0,9.0,4215.0,3134.0,160899.0,348608.0,0.7916813443958176,0.0,0.0,500000.0
40.0,1000.0,7.0,9.0,487.0,320.0,17188.0,32640.0,0.7247583194719572,0.0,0.0,64000.0
40.0,1000.0,7.0,9.0,487.0,320.0,17188.0,32640.0,0.7247583194719572,0.0,0.0,500000.0
40.0,1000.0,7.0,9.0,1756.0,1219.0,64603.0,133328.0,0.7824437982927944,0.0,0.0,64000.0
