no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,200.0,7.0,6.0,10.0,6.0,425.0,592.0,0.9109375,0.0,0.0,64000.0
1.0,200.0,7.0,6.0,10.0,6.0,425.0,592.0,0.9109375,0.0,0.0,500000.0
1.0,200.0,7.0,14.0,21.0,16.0,1050.0,1712.0,0.93125,0.0,0.0,500000.0
1.0,200.0,7.0,14.0,21.0,16.0,1050.0,1712.0,0.93125,0.0,0.0,64000.0
1.0,200.0,7.0,20.0,31.0,28.0,2375.0,3056.0,0.946875,0.0,0.0,64000.0
1.0,200.0,7.0,20.0,31.0,28.0,2375.0,3056.0,0.946875,0.0,0.0,500000.0
2.0,200.0,7.0,8.0,17.0,12.0,684.0,1184.0,0.9109375,0.0,0.0,500000.0
2.0,200.0,7.0,8.0,17.0,12.0,684.0,1184.0,0.9109375,0.0,0.0,64000.0
2.0,200.0,7.0,16.0,32.0,32.0,1503.0,3424.0,0.93125,0.0,0.0,64000.0
2.0,200.0,7.0,16.0,32.0,32.0,1503.0,3424.0,0.93125,0.0,0.0,500000.0
2.0,200.0,7.0,23.0,47.0,56.0,3075.0,6112.0,0.9640625,0.0,0.0,64000.0
2.0,200.0,7.0,23.0,47.0,56.0,3075.0,6112.0,0.9640625,0.0,0.0,500000.0
3.0,200.0,7.0,9.0,23.0,18.0,892.0,1776.0,0.9109375,0.0,0.0,64000.0
3.0,200.0,7.0,9.0,23.0,18.0,892.0,1776.0,0.9109375,0.0,0.0,500000.0
3.0,200.0,7.0,17.0,44.0,48.0,1913.0,5136.0,0.93125,0.0,0.0,500000.0
3.0,200.0,7.0,17.0,44.0,48.0,1913.0,5136.0,0.93125,0.0,0.0,64000.0
3.0,200.0,7.0,24.0,67.0,84.0,3881.0,9168.0,0.9671875,0.0,0.0,500000.0
3.0,200.0,7.0,24.0,67.0,84.0,3881.0,9168.0,0.9671875,0.0,0.0,64000.0
4.0,200.0,7.0,9.0,28.0,23.0,1064.0,2256.0,0.9109375,0.0,0.0,500000.0
4.0,200.0,7.0,9.0,28.0,23.0,1064.0,2256.0,0.9109375,0.0,0.0,64000.0
4.0,200.0,7.0,17.0,54.0,62.0,2278.0,6624.0,0.93125,0.0,0.0,64000.0
4.0,200.0,7.0,17.0,54.0,62.0,2278.0,6624.0,0.93125,0.0,0.0,500000.0
4.0,200.0,7.0,24.0,87.0,109.0,4545.0,11888.0,0.9671875,0.0,0.0,64000.0
4.0,200.0,7.0,24.0,87.0,109.0,4545.0,11888.0,0.9671875,0.0,0.0,500000.0
5.0,200.0,7.0,9.0,33.0,29.0,1229.0,2848.0,0.9109375,0.0,0.0,500000.0
5.0,200.0,7.0,9.0,33.0,29.0,1229.0,2848.0,0.9109375,0.0,0.0,64000.0
5.0,200.0,7.0,17.0,65.0,78.0,2645.0,8336.0,0.93125,0.0,0.0,500000.0
5.0,200.0,7.0,17.0,65.0,78.0,2645.0,8336.0,0.93125,0.0,0.0,64000.0
5.0,200.0,7.0,24.0,108.0,137.0,5372.0,14944.0,0.971875,0.0,0.0,64000.0
5.0,200.0,7.0,24.0,108.0,137.0,5372.0,14944.0,0.971875,0.0,0.0,500000.0
6.0,200.0,7.0,9.0,38.0,35.0,1394.0,3440.0,0.9109375,0.0,0.0,64000.0
6.0,200.0,7.0,9.0,38.0,35.0,1394.0,3440.0,0.9109375,0.0,0.0,500000.0
6.0,200.0,7.0,17.0,78.0,94.0,3076.0,10048.0,0.93125,0.0,0.0,64000.0
6.0,200.0,7.0,17.0,78.0,94.0,3076.0,10048.0,0.93125,0.0,0.0,500000.0
6.0,200.0,7.0,27.0,131.0,165.0,6168.0,18000.0,0.9734375,0.0,0.0,500000.0
6.0,200.0,7.0,27.0,131.0,165.0,6168.0,18000.0,0.9734375,0.0,0.0,64000.0
7.0,200.0,7.0,11.0,45.0,42.0,1661.0,4144.0,0.9109375,0.0,0.0,64000.0
7.0,200.0,7.0,11.0,45.0,42.0,1661.0,4144.0,0.9109375,0.0,0.0,500000.0
7.0,200.0,7.0,19.0,96.0,112.0,3754.0,11984.0,0.93125,0.0,0.0,64000.0
7.0,200.0,7.0,19.0,96.0,112.0,3754.0,11984.0,0.93125,0.0,0.0,500000.0
