no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,200.0,7.0,8.0,13.0,8.0,538.0,816.0,0.9513846153846154,0.0,0.0,64000.0
1.0,200.0,7.0,8.0,13.0,8.0,538.0,816.0,0.9513846153846154,0.0,0.0,500000.0
1.0,200.0,7.0,17.0,27.0,19.0,1294.0,2048.0,0.9766153846153847,0.0,0.0,64000.0
1.0,200.0,7.0,17.0,27.0,19.0,1294.0,2048.0,0.9766153846153847,0.0,0.0,500000.0
1.0,200.0,7.0,18.0,30.0,23.0,2299.0,2496.0,0.9969230769230769,0.0,0.0,500000.0
1.0,200.0,7.0,18.0,30.0,23.0,2299.0,2496.0,0.9969230769230769,0.0,0.0,64000.0
2.0,200.0,7.0,8.0,19.0,16.0,745.0,1632.0,0.9513846153846154,0.0,0.0,64000.0
2.0,200.0,7.0,8.0,19.0,16.0,745.0,1632.0,0.9513846153846154,0.0,0.0,500000.0
2.0,200.0,7.0,19.0,46.0,39.0,2026.0,4208.0,0.9895384615384616,0.0,0.0,64000.0
2.0,200.0,7.0,19.0,46.0,39.0,2026.0,4208.0,0.9895384615384616,0.0,0.0,500000.0
2.0,200.0,7.0,20.0,45.0,47.0,2973.0,5104.0,0.9969230769230769,0.0,0.0,500000.0
2.0,200.0,7.0,20.0,45.0,47.0,2973.0,5104.0,0.9969230769230769,0.0,0.0,64000.0
3.0,200.0,7.0,8.0,25.0,24.0,952.0,2448.0,0.9513846153846154,0.0,0.0,64000.0
3.0,200.0,7.0,8.0,25.0,24.0,952.0,2448.0,0.9513846153846154,0.0,0.0,500000.0
3.0,200.0,7.0,19.0,64.0,58.0,2668.0,6256.0,0.9895384615384616,0.0,0.0,64000.0
3.0,200.0,7.0,19.0,64.0,58.0,2668.0,6256.0,0.9895384615384616,0.0,0.0,500000.0
3.0,200.0,7.0,20.0,55.0,70.0,3317.0,7600.0,0.9969230769230769,0.0,0.0,64000.0
3.0,200.0,7.0,20.0,55.0,70.0,3317.0,7600.0,0.9969230769230769,0.0,0.0,500000.0
