no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,200.0,7.0,5.0,15.0,8.0,580.0,816.0,0.021681251580272898,0.0,0.0,500000.0
1.0,200.0,7.0,5.0,15.0,8.0,580.0,816.0,0.021681251580272898,0.0,0.0,64000.0
1.0,200.0,7.0,12.0,63.0,32.0,2521.0,3504.0,0.030032723491821733,0.0,0.0,64000.0
1.0,200.0,7.0,12.0,63.0,32.0,2521.0,3504.0,0.030032723491821733,0.0,0.0,500000.0
1.0,200.0,7.0,30.0,252.0,128.0,10495.0,14256.0,0.03613132334018354,0.0,0.0,500000.0
1.0,200.0,7.0,30.0,252.0,128.0,10495.0,14256.0,0.03613132334018354,0.0,0.0,64000.0
2.0,200.0,7.0,5.0,30.0,16.0,1099.0,1632.0,0.03969201088385588,0.0,0.0,64000.0
2.0,200.0,7.0,5.0,30.0,16.0,1099.0,1632.0,0.03969201088385588,0.0,0.0,500000.0
2.0,200.0,7.0,13.0,125.0,64.0,4674.0,7008.0,0.05442072435947598,0.0,0.0,64000.0
2.0,200.0,7.0,13.0,125.0,64.0,4674.0,7008.0,0.05442072435947598,0.0,0.0,500000.0
2.0,200.0,7.0,40.0,490.0,256.0,19228.0,28512.0,0.06609900345302522,0.0,0.0,64000.0
2.0,200.0,7.0,40.0,490.0,256.0,19228.0,28512.0,0.06609900345302522,0.0,0.0,500000.0
3.0,200.0,7.0,6.0,44.0,24.0,1598.0,2448.0,0.05497750471662166,0.0,0.0,500000.0
3.0,200.0,7.0,6.0,44.0,24.0,1598.0,2448.0,0.05497750471662166,0.0,0.0,64000.0
3.0,200.0,7.0,17.0,188.0,96.0,6952.0,10512.0,0.0756499205188349,0.0,0.0,64000.0
3.0,200.0,7.0,17.0,188.0,96.0,6952.0,10512.0,0.0756499205188349,0.0,0.0,500000.0
3.0,200.0,7.0,45.0,731.0,384.0,27835.0,42768.0,0.0921293784644518,0.0,0.0,500000.0
3.0,200.0,7.0,45.0,731.0,384.0,27835.0,42768.0,0.0921293784644518,0.0,0.0,64000.0
4.0,200.0,7.0,8.0,59.0,32.0,2138.0,3264.0,0.06841561894758719,0.0,0.0,64000.0
4.0,200.0,7.0,8.0,59.0,32.0,2138.0,3264.0,0.06841561894758719,0.0,0.0,500000.0
4.0,200.0,7.0,17.0,249.0,128.0,9057.0,14016.0,0.09360858818703477,0.0,0.0,64000.0
4.0,200.0,7.0,17.0,249.0,128.0,9057.0,14016.0,0.09360858818703477,0.0,0.0,500000.0
4.0,200.0,7.0,54.0,963.0,511.0,36272.0,56912.0,0.11314942782700677,0.0,0.0,500000.0
4.0,200.0,7.0,54.0,963.0,511.0,36272.0,56912.0,0.11314942782700677,0.0,0.0,64000.0
5.0,200.0,7.0,8.0,73.0,40.0,2626.0,4080.0,0.08016801906235749,0.0,0.0,500000.0
5.0,200.0,7.0,8.0,73.0,40.0,2626.0,4080.0,0.08016801906235749,0.0,0.0,64000.0
5.0,200.0,7.0,22.0,309.0,160.0,11340.0,17520.0,0.10918956309624572,0.0,0.0,64000.0
5.0,200.0,7.0,22.0,309.0,160.0,11340.0,17520.0,0.10918956309624572,0.0,0.0,500000.0
5.0,200.0,7.0,60.0,1186.0,639.0,44360.0,71168.0,0.13184893831840094,0.0,0.0,64000.0
5.0,200.0,7.0,60.0,1186.0,639.0,44360.0,71168.0,0.13184893831840094,0.0,0.0,500000.0
6.0,200.0,7.0,8.0,87.0,48.0,3095.0,4896.0,0.09026562591356158,0.0,0.0,500000.0
6.0,200.0,7.0,8.0,87.0,48.0,3095.0,4896.0,0.09026562591356158,0.0,0.0,64000.0
6.0,200.0,7.0,25.0,366.0,192.0,13344.0,21024.0,0.12356692972134475,0.0,0.0,64000.0
6.0,200.0,7.0,25.0,366.0,192.0,13344.0,21024.0,0.12356692972134475,0.0,0.0,500000.0
6.0,200.0,7.0,63.0,1413.0,767.0,52391.0,85424.0,0.14744390060843682,0.0,0.0,64000.0
6.0,200.0,7.0,63.0,1413.0,767.0,52391.0,85424.0,0.14744390060843682,0.0,0.0,500000.0
7.0,200.0,7.0,10.0,101.0,56.0,3609.0,5712.0,0.09911034767653071,0.0,0.0,500000.0
7.0,200.0,7.0,10.0,101.0,56.0,3609.0,5712.0,0.09911034767653071,0.0,0.0,64000.0
7.0,200.0,7.0,27.0,424.0,224.0,15359.0,24528.0,0.13494575364967087,0.0,0.0,500000.0
7.0,200.0,7.0,27.0,424.0,224.0,15359.0,24528.0,0.13494575364967087,0.0,0.0,64000.0
7.0,200.0,7.0,66.0,1634.0,894.0,60367.0,99568.0,0.16089684508571145,0.0,0.0,500000.0
7.0,200.0,7.0,66.0,1634.0,894.0,60367.0,99568.0,0.16089684508571145,0.0,0.0,64000.0
8.0,200.0,7.0,10.0,116.0,64.0,4116.0,6528.0,0.10789685103940339,0.0,0.0,500000.0
8.0,200.0,7.0,10.0,116.0,64.0,4116.0,6528.0,0.10789685103940339,0.0,0.0,64000.0
8.0,200.0,7.0,29.0,481.0,256.0,17371.0,28032.0,0.14569410697973906,0.0,0.0,500000.0
8.0,200.0,7.0,29.0,481.0,256.0,17371.0,28032.0,0.14569410697973906,0.0,0.0,64000.0
8.0,200.0,7.0,69.0,1854.0,1021.0,68198.0,113712.0,0.17270718490097003,0.0,0.0,500000.0
8.0,200.0,7.0,69.0,1854.0,1021.0,68198.0,113712.0,0.17270718490097003,0.0,0.0,64000.0
9.0,200.0,7.0,11.0,131.0,72.0,4678.0,7344.0,0.11535462172559408,0.0,0.0,64000.0
9.0,200.0,7.0,11.0,131.0,72.0,4678.0,7344.0,0.11535462172559408,0.0,0.0,500000.0
9.0,200.0,7.0,35.0,539.0,288.0,19552.0,31536.0,0.15509788684435388,0.0,0.0,500000.0
9.0,200.0,7.0,35.0,539.0,288.0,19552.0,31536.0,0.15509788684435388,0.0,0.0,64000.0
9.0,200.0,7.0,73.0,2074.0,1149.0,76299.0,127968.0,0.18325922670612083,0.0,0.0,500000.0
9.0,200.0,7.0,73.0,2074.0,1149.0,76299.0,127968.0,0.18325922670612083,0.0,0.0,64000.0
10.0,200.0,7.0,13.0,145.0,80.0,5181.0,8160.0,0.12242093618382222,0.0,0.0,64000.0
10.0,200.0,7.0,13.0,145.0,80.0,5181.0,8160.0,0.12242093618382222,0.0,0.0,500000.0
10.0,200.0,7.0,38.0,596.0,320.0,21610.0,35040.0,0.16357445471156262,0.0,0.0,64000.0
10.0,200.0,7.0,38.0,596.0,320.0,21610.0,35040.0,0.16357445471156262,0.0,0.0,500000.0
10.0,200.0,7.0,75.0,2296.0,1277.0,84163.0,142224.0,0.19254953582507717,0.0,0.0,500000.0
10.0,200.0,7.0,75.0,2296.0,1277.0,84163.0,142224.0,0.19254953582507717,0.0,0.0,64000.0
15.0,200.0,7.0,16.0,217.0,120.0,7676.0,12240.0,0.14829562109196648,0.0,0.0,500000.0
15.0,200.0,7.0,16.0,217.0,120.0,7676.0,12240.0,0.14829562109196648,0.0,0.0,64000.0
15.0,200.0,7.0,45.0,877.0,480.0,31550.0,52560.0,0.19539864744887925,0.0,0.0,500000.0
15.0,200.0,7.0,45.0,877.0,480.0,31550.0,52560.0,0.19539864744887925,0.0,0.0,64000.0
15.0,200.0,7.0,80.0,3386.0,1914.0,123678.0,213168.0,0.22559234203665357,0.0,0.0,500000.0
13.0,200.0,7.0,79.0,2937.0,1654.0,107291.0,184208.0,0.2139510507414345,0.0,0.0,64000.0
20.0,200.0,7.0,21.0,289.0,160.0,10281.0,16320.0,0.1675406374805588,0.0,0.0,500000.0
20.0,200.0,7.0,21.0,289.0,160.0,10281.0,16320.0,0.1675406374805588,0.0,0.0,64000.0
20.0,200.0,7.0,52.0,1163.0,640.0,41879.0,70080.0,0.2155404921704971,0.0,0.0,64000.0
20.0,200.0,7.0,52.0,1163.0,640.0,41879.0,70080.0,0.2155404921704971,0.0,0.0,500000.0
13.0,200.0,7.0,79.0,2937.0,1654.0,107291.0,184208.0,0.2139510507414345,0.0,0.0,64000.0
20.0,200.0,7.0,87.0,4462.0,2553.0,162638.0,284336.0,0.24539647456912095,0.0,0.0,500000.0
30.0,200.0,7.0,29.0,428.0,240.0,15184.0,24480.0,0.19278642108629673,0.0,0.0,500000.0
30.0,200.0,7.0,29.0,428.0,240.0,15184.0,24480.0,0.19278642108629673,0.0,0.0,64000.0
30.0,200.0,7.0,64.0,1724.0,960.0,61777.0,105120.0,0.24097411606430974,0.0,0.0,64000.0
30.0,200.0,7.0,64.0,1724.0,960.0,61777.0,105120.0,0.24097411606430974,0.0,0.0,500000.0
13.0,200.0,7.0,79.0,2937.0,1654.0,107291.0,184208.0,0.2139510507414345,0.0,0.0,64000.0
30.0,200.0,7.0,91.0,6553.0,3818.0,238315.0,425216.0,0.26819323549940843,0.0,0.0,500000.0
40.0,200.0,7.0,32.0,570.0,320.0,20090.0,32640.0,0.2113049080935655,0.0,0.0,64000.0
40.0,200.0,7.0,32.0,570.0,320.0,20090.0,32640.0,0.2113049080935655,0.0,0.0,500000.0
40.0,200.0,7.0,73.0,2284.0,1280.0,81640.0,140160.0,0.25647125675452787,0.0,0.0,64000.0
40.0,200.0,7.0,73.0,2284.0,1280.0,81640.0,140160.0,0.25647125675452787,0.0,0.0,500000.0
1.0,200.0,7.0,0.0,0.0,0.0,0.0,0.0,0.25647125675452787,0.0,0.0,0.0
1.0,200.0,7.0,91.0,6553.0,0.0,238315.0,0.0,0.25647125675452787,0.0,0.0,0.0
1.0,200.0,7.0,6.0,44.0,0.0,1598.0,0.0,0.25647125675452787,0.0,0.0,0.0
1.0,200.0,7.0,6.0,44.0,0.0,1598.0,0.0,0.25647125675452787,0.0,0.0,0.0
1.0,200.0,7.0,12.0,63.0,0.0,2521.0,0.0,0.25647125675452787,0.0,0.0,0.0
1.0,200.0,7.0,12.0,63.0,0.0,2521.0,0.0,0.25647125675452787,0.0,0.0,0.0
